Month,Europe Brent Spot Price FOB Dollars per Barrel
Mar 2024,85.41
Feb 2024,83.48
Jan 2024,80.12
Dec 2023,77.63
Nov 2023,82.94
Oct 2023,90.6
Sep 2023,93.72
Aug 2023,86.15
Jul 2023,80.11
Jun 2023,74.84
May 2023,75.47
Apr 2023,84.64
Mar 2023,78.43
Feb 2023,82.59
Jan 2023,82.5
Dec 2022,80.92
Nov 2022,91.42
Oct 2022,93.33
Sep 2022,89.76
Aug 2022,100.45
Jul 2022,111.93
Jun 2022,122.71
May 2022,113.34
Apr 2022,104.58
Mar 2022,117.25
Feb 2022,97.13
Jan 2022,86.51
Dec 2021,74.17
Nov 2021,81.05
Oct 2021,83.54
Sep 2021,74.49
Aug 2021,70.75
Jul 2021,75.17
Jun 2021,73.16
May 2021,68.53
Apr 2021,64.81
Mar 2021,65.41
Feb 2021,62.28
Jan 2021,54.77
Dec 2020,49.99
Nov 2020,42.69
Oct 2020,40.19
Sep 2020,40.91
Aug 2020,44.74
Jul 2020,43.24
Jun 2020,40.27
May 2020,29.38
Apr 2020,18.38
Mar 2020,32.01
Feb 2020,55.66
Jan 2020,63.65
